Centro,¿EN QUE MUNICIPIO VIVES?,¿CÓMO ACOSTUMBRAS A IR DE TU CASA A LA ESCUELA? ," 	¿CUÁNTO TIEMPO HACES DE TU CASA A LA ESCUELA? "
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,IXTLAHUACAN DE LOS MEMBRILLOS,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,TONALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
CUAAD,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCS,CHAPALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCOSTA,PUERTO VALLARTA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUTONALA,TONALA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,TONALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUVALLES,TALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUVALLES,AMECA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,GUADALAJARA,Bicicleta,31 minutos a 1 hora
CUCEI,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
CUCSUR,AUTLAN DE NAVARRO,Caminando,Hasta 15 minutos
CUCBA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 2 horas
CUSUR,SAYULA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Metro, metrobús o tren ligero",16 a 30 minutos
CUCSUR,EL GRULLO,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,AMECA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,TONALA,"Camion, combi o colectivo",Mas de 2 horas
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SUV,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,EL SALTO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,Caminando,16 a 30 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUVALLES,AMECA,"Camion, combi o colectivo",Hasta 15 minutos
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCEI,GUADALAJARA,Caminando,16 a 30 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCBA,PUERTO VALLARTA,"Camion, combi o colectivo",Mas de 2 horas
CUTONALA,ZAPOTLANEJO,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,PUERTO VALLARTA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCI,TLAJOMULCO DE ZUNIGA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCBA,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUNORTE,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUVALLES,AMECA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,Caminando,16 a 30 minutos
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUALTOS,NOCHISTLAN DE MEJIA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCOSTA,PUERTO VALLARTA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUTONALA,EL SALTO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
